recordingId,trackId,frame,trackLifetime,xCenter,yCenter,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,lonVelocity,latVelocity,lonAcceleration,latAcceleration
4,0,0,0,128.72635,-49.37834,251.88336,1.98859,4.45302,-1.21272,-3.00151,0.30639,0.77932,3.22981,0.21927,-0.83596,-0.04887
4,0,1,1,128.67851,-49.49757,251.73675,1.98859,4.45302,-1.20148,-2.97478,0.31546,0.80663,3.20145,0.20871,-0.86486,-0.04678
4,0,2,2,128.63088,-49.61669,251.57934,1.98859,4.45302,-1.18994,-2.94664,0.32557,0.83823,3.17167,0.19786,-0.89816,-0.04401
4,0,3,3,128.58392,-49.73548,251.41920,1.98859,4.45302,-1.17815,-2.91660,0.33684,0.87363,3.13998,0.18739,-0.93543,-0.04090
4,0,4,4,128.53750,-49.85325,251.25944,1.98859,4.45302,-1.16609,-2.88442,0.34943,0.91217,3.10614,0.17755,-0.97607,-0.03784
4,0,5,5,128.49128,-49.96991,251.10248,1.98859,4.45302,-1.15357,-2.84990,0.36345,0.95307,3.06991,0.16838,-1.01941,-0.03519
4,0,6,6,128.44593,-50.08514,250.94446,1.98859,4.45302,-1.14070,-2.81294,0.37904,0.99553,3.03122,0.15981,-1.06473,-0.03325
4,0,7,7,128.40047,-50.19896,250.79616,1.98859,4.45302,-1.12715,-2.77345,0.39628,1.03874,2.98987,0.15216,-1.11129,-0.03255
4,0,8,8,128.35483,-50.31042,250.65136,1.98859,4.45302,-1.11256,-2.73168,0.41494,1.08201,2.94601,0.14468,-1.15837,-0.03302
4,0,9,9,128.30885,-50.42038,250.50945,1.98859,4.45302,-1.09651,-2.68756,0.43451,1.12474,2.89940,0.13696,-1.20527,-0.03434
4,0,10,10,128.26422,-50.52826,250.36696,1.98859,4.45302,-1.07922,-2.64122,0.45440,1.16638,2.85028,0.12904,-1.25125,-0.03608
4,0,11,11,128.22016,-50.63397,250.22222,1.98859,4.45302,-1.06063,-2.59282,0.47412,1.20648,2.79876,0.12073,-1.29574,-0.03792
4,0,12,12,128.17669,-50.73796,250.07141,1.98859,4.45302,-1.04069,-2.54231,0.49315,1.24457,2.74479,0.11182,-1.33813,-0.03941
4,0,13,13,128.13345,-50.83950,249.91834,1.98859,4.45302,-1.01918,-2.48995,0.51080,1.28025,2.68851,0.10227,-1.37781,-0.04016
4,0,14,14,128.09103,-50.93816,249.76782,1.98859,4.45302,-0.99614,-2.43612,0.52626,1.31333,2.63030,0.09220,-1.41429,-0.03961
4,0,15,15,128.05043,-51.03520,249.61667,1.98859,4.45302,-0.97201,-2.38071,0.53887,1.34367,2.57019,0.08195,-1.44722,-0.03713
4,0,16,16,128.01232,-51.12963,249.46801,1.98859,4.45302,-0.94752,-2.32398,0.54848,1.37107,2.50868,0.07224,-1.47635,-0.03276
4,0,17,17,127.97689,-51.22216,249.32500,1.98859,4.45302,-0.92345,-2.26589,0.55556,1.39536,2.44600,0.06397,-1.50164,-0.02712
4,0,18,18,127.94189,-51.31207,249.19045,1.98859,4.45302,-0.89970,-2.20667,0.56080,1.41632,2.38235,0.05706,-1.52316,-0.02105
4,0,19,19,127.90705,-51.39922,249.06179,1.98859,4.45302,-0.87602,-2.14660,0.56465,1.43387,2.31790,0.05106,-1.54097,-0.01496
4,0,20,20,127.87334,-51.48377,248.93780,1.98859,4.45302,-0.85253,-2.08589,0.56743,1.44803,2.25292,0.04594,-1.55522,-0.00913
4,0,21,21,127.84008,-51.56558,248.82476,1.98859,4.45302,-0.82909,-2.02481,0.56939,1.45894,2.18758,0.04170,-1.56611,-0.00394
4,0,22,22,127.80749,-51.64520,248.73107,1.98859,4.45302,-0.80562,-1.96337,0.57062,1.46673,2.12188,0.03854,-1.57382,0.00030
4,0,23,23,127.77594,-51.72219,248.65157,1.98859,4.45302,-0.78218,-1.90177,0.57120,1.47152,2.05603,0.03619,-1.57849,0.00368
4,0,24,24,127.74574,-51.79679,248.57850,1.98859,4.45302,-0.75898,-1.84010,0.57130,1.47343,1.99018,0.03449,-1.58030,0.00630
4,0,25,25,127.71524,-51.86905,248.49875,1.98859,4.45302,-0.73553,-1.77841,0.57092,1.47256,1.92424,0.03252,-1.57934,0.00853
4,0,26,26,127.68609,-51.93932,248.41447,1.98859,4.45302,-0.71202,-1.71664,0.56991,1.46888,1.85820,0.03055,-1.57554,0.01044
4,0,27,27,127.65858,-52.00724,248.34177,1.98859,4.45302,-0.68876,-1.65484,0.56834,1.46225,1.79221,0.02939,-1.56877,0.01146
4,0,28,28,127.63173,-52.07224,248.28089,1.98859,4.45302,-0.66566,-1.59331,0.56634,1.45257,1.72653,0.02879,-1.55903,0.01140
4,0,29,29,127.60553,-52.13451,248.23039,1.98859,4.45302,-0.64263,-1.53229,0.56397,1.43992,1.66135,0.02851,-1.54639,0.01028
4,0,30,30,127.57981,-52.19403,248.18463,1.98859,4.45302,-0.61951,-1.47203,0.56114,1.42447,1.59683,0.02811,-1.53099,0.00841
4,0,31,31,127.55424,-52.25124,248.14687,1.98859,4.45302,-0.59600,-1.41260,0.55749,1.40647,1.53294,0.02737,-1.51291,0.00610
4,0,32,32,127.52996,-52.30606,248.11049,1.98859,4.45302,-0.57229,-1.35411,0.55261,1.38612,1.46985,0.02619,-1.49221,0.00400
4,0,33,33,127.50688,-52.35850,248.07235,1.98859,4.45302,-0.54852,-1.29668,0.54619,1.36367,1.40771,0.02461,-1.46898,0.00257
4,0,34,34,127.48477,-52.40826,248.02885,1.98859,4.45302,-0.52477,-1.24056,0.53798,1.33944,1.34680,0.02251,-1.44343,0.00223
4,0,35,35,127.46536,-52.45621,247.98926,1.98859,4.45302,-0.50180,-1.18565,0.52809,1.31375,1.28729,0.02087,-1.41591,0.00276
4,0,36,36,127.44683,-52.50202,247.94800,1.98859,4.45302,-0.47968,-1.13199,0.51698,1.28683,1.22927,0.01958,-1.38680,0.00398
4,0,37,37,127.42897,-52.54585,247.91555,1.98859,4.45302,-0.45836,-1.07957,0.50506,1.25890,1.17269,0.01884,-1.35642,0.00531
4,0,38,38,127.41145,-52.58734,247.88293,1.98859,4.45302,-0.43769,-1.02854,0.49258,1.23015,1.11765,0.01824,-1.32509,0.00682
4,0,39,39,127.39526,-52.62695,247.84657,1.98859,4.45302,-0.41788,-0.97889,0.47981,1.20084,1.06420,0.01791,-1.29312,0.00843
4,0,40,40,127.37985,-52.66447,247.80335,1.98859,4.45302,-0.39896,-0.93067,0.46713,1.17122,1.01243,0.01780,-1.26090,0.00996
